6500, 2, -5, 0.5277, 0.33, 0.2649, -0.1224, 1.9562, -1.9362, 0.7192
6750, 2, -5, 0.579, 0.4672, 0.1499, 0.1937, 0.3093, 0.4338, -0.2937
7000, 2, -5, 0.5677, 0.4378, 0.174, 0.175, 0.4304, 0.2725, -0.2397
7250, 2, -5, 0.5554, 0.4115, 0.1928, 0.1503, 0.6324, -0.0552, -0.0938
7500, 2, -5, 0.5404, 0.378, 0.2176, 0.1502, 0.7759, -0.3173, 0.0222
7750, 2, -5, 0.5228, 0.3389, 0.2464, 0.1665, 0.8713, -0.5186, 0.1092
8000, 2, -5, 0.5052, 0.3056, 0.2674, 0.2013, 0.8994, -0.6496, 0.1746
8250, 2, -5, 0.489, 0.2802, 0.2798, 0.2526, 0.8461, -0.6761, 0.2001
8500, 2, -5, 0.4749, 0.2615, 0.286, 0.3059, 0.7475, -0.6261, 0.1917
8750, 2, -5, 0.4637, 0.2491, 0.2875, 0.3519, 0.6443, -0.5532, 0.1722
9000, 2, -5, 0.4551, 0.2403, 0.2879, 0.3904, 0.5453, -0.4673, 0.1435
9250, 2, -5, 0.4486, 0.2342, 0.2873, 0.4199, 0.4672, -0.3986, 0.1207
9500, 2, -5, 0.4435, 0.2294, 0.2868, 0.4446, 0.398, -0.333, 0.0973
9750, 2, -5, 0.4392, 0.2249, 0.2871, 0.4619, 0.3516, -0.2907, 0.0823
10000, 2, -5, 0.4355, 0.221, 0.2875, 0.4789, 0.3079, -0.2518, 0.0689
10500, 2, -5, 0.4294, 0.2135, 0.2893, 0.5123, 0.2236, -0.174, 0.0407
14000, 2, -5, 0.417, 0.191, 0.3028, 0.6411, -0.034, 0.0275, -0.0216
3500, 2.5, -5, 0.5526, 0.3484, 0.2736, -0.1654, 1.7475, -1.3199, 0.3595
3750, 2.5, -5, 0.4743, 0.1743, 0.402, -0.0659, 2.2426, -2.4306, 0.8739
4000, 2.5, -5, 0.4734, 0.1999, 0.3665, 0.25, 1.367, -1.5503, 0.5822
4250, 2.5, -5, 0.5272, 0.2893, 0.3188, -0.2534, 2.6612, -2.906, 1.1261
4500, 2.5, -5, 0.5456, 0.317, 0.3064, -0.4001, 3.0181, -3.2498, 1.2556
4750, 2.5, -5, 0.5505, 0.3239, 0.3037, -0.4395, 3.1276, -3.3686, 1.3039
5000, 2.5, -5, 0.5528, 0.331, 0.2972, -0.4165, 3.0216, -3.2232, 1.2429
5250, 2.5, -5, 0.5528, 0.3383, 0.2875, -0.3604, 2.8114, -2.9625, 1.1384
5500, 2.5, -5, 0.5497, 0.3393, 0.2819, -0.3171, 2.6472, -2.759, 1.0547
5750, 2.5, -5, 0.5448, 0.3378, 0.2773, -0.2791, 2.5084, -2.5949, 0.9885
6000, 2.5, -5, 0.5381, 0.3326, 0.2753, -0.252, 2.4101, -2.4824, 0.9425
6250, 2.5, -5, 0.5303, 0.3233, 0.2774, -0.2397, 2.3501, -2.4017, 0.9027
6500, 2.5, -5, 0.5185, 0.3051, 0.2859, -0.2199, 2.3075, -2.3685, 0.8856
6750, 2.5, -5, 0.5128, 0.3037, 0.2803, -0.154, 2.087, -2.1137, 0.7847
7000, 2.5, -5, 0.565, 0.4406, 0.1667, 0.1752, 0.3719, 0.3679, -0.2835
7250, 2.5, -5, 0.5534, 0.4113, 0.1904, 0.1589, 0.5049, 0.1744, -0.2108
7500, 2.5, -5, 0.5398, 0.3844, 0.2082, 0.1473, 0.6831, -0.1441, -0.0628
7750, 2.5, -5, 0.5237, 0.3524, 0.2295, 0.1634, 0.7881, -0.3806, 0.0504
8000, 2.5, -5, 0.5061, 0.3162, 0.2544, 0.1935, 0.8393, -0.5372, 0.1236
8250, 2.5, -5, 0.4886, 0.2854, 0.2724, 0.2465, 0.7991, -0.5832, 0.1549
8500, 2.5, -5, 0.4726, 0.2617, 0.2825, 0.3042, 0.7098, -0.5577, 0.1577
8750, 2.5, -5, 0.459, 0.2451, 0.2866, 0.3482, 0.6309, -0.5283, 0.1581
9000, 2.5, -5, 0.4479, 0.2331, 0.2879, 0.3847, 0.5495, -0.4759, 0.1455
9250, 2.5, -5, 0.439, 0.224, 0.2881, 0.4147, 0.4754, -0.4195, 0.1288
9500, 2.5, -5, 0.4319, 0.2173, 0.2876, 0.4395, 0.4091, -0.3643, 0.1111
9750, 2.5, -5, 0.4258, 0.2112, 0.2875, 0.4612, 0.3488, -0.3099, 0.092
10000, 2.5, -5, 0.4206, 0.2064, 0.2871, 0.4786, 0.302, -0.2707, 0.0793
10500, 2.5, -5, 0.4118, 0.1976, 0.287, 0.5102, 0.217, -0.1971, 0.0544
11000, 2.5, -5, 0.4044, 0.1899, 0.2874, 0.5435, 0.1292, -0.118, 0.0269
11500, 2.5, -5, 0.3982, 0.1834, 0.2878, 0.5729, 0.0559, -0.0561, 0.0068
12000, 2.5, -5, 0.3928, 0.1775, 0.2885, 0.6037, -0.0202, 0.0105, -0.0155
12500, 2.5, -5, 0.3884, 0.1726, 0.2892, 0.6334, -0.0931, 0.0753, -0.0373
13000, 2.5, -5, 0.3846, 0.168, 0.2902, 0.6606, -0.1577, 0.132, -0.0562
14000, 2.5, -5, 0.3791, 0.1606, 0.2928, 0.7109, -0.2739, 0.2344, -0.0907
15000, 2.5, -5, 0.3755, 0.1543, 0.2965, 0.7513, -0.3573, 0.3022, -0.1121
16000, 2.5, -5, 0.3736, 0.149, 0.3011, 0.7864, -0.4207, 0.3489, -0.1256
17000, 2.5, -5, 0.3735, 0.1454, 0.3056, 0.8172, -0.4696, 0.3798, -0.1325
18000, 2.5, -5, 0.3754, 0.1441, 0.3099, 0.8419, -0.5051, 0.4031, -0.1379
19000, 2.5, -5, 0.3799, 0.1455, 0.3142, 0.8493, -0.4989, 0.3917, -0.1327
3500, 3, -5, 0.5629, 0.3712, 0.2569, -0.1695, 1.6767, -1.1851, 0.3018
3750, 3, -5, 0.4695, 0.1495, 0.4288, -0.1811, 2.6735, -2.9559, 1.0763
4000, 3, -5, 0.4179, 0.0881, 0.442, 0.5437, 1.0708, -1.6303, 0.6852
4250, 3, -5, 0.4745, 0.2032, 0.3635, 0.3592, 1.1677, -1.4319, 0.5719
4500, 3, -5, 0.5202, 0.2609, 0.3475, -0.164, 2.638, -3.0331, 1.207
4750, 3, -5, 0.536, 0.2861, 0.3348, -0.304, 2.9293, -3.2659, 1.2802
5000, 3, -5, 0.5415, 0.2977, 0.3268, -0.3675, 3.0225, -3.3004, 1.2774
5250, 3, -5, 0.544, 0.3097, 0.314, -0.3561, 2.8878, -3.0809, 1.1775
5500, 3, -5, 0.5421, 0.3153, 0.3039, -0.3317, 2.7486, -2.8879, 1.0951
5750, 3, -5, 0.5392, 0.3192, 0.2947, -0.3058, 2.6093, -2.699, 1.0147
6000, 3, -5, 0.5336, 0.3186, 0.2882, -0.2827, 2.5022, -2.5675, 0.9613
6250, 3, -5, 0.5272, 0.3139, 0.2858, -0.2775, 2.4501, -2.4933, 0.9262
6500, 3, -5, 0.518, 0.3039, 0.287, -0.2511, 2.3651, -2.4034, 0.8889
6750, 3, -5, 0.5073, 0.2871, 0.2951, -0.2452, 2.3615, -2.4124, 0.8883
7000, 3, -5, 0.5007, 0.2824, 0.2926, -0.1799, 2.1658, -2.2012, 0.8075
7250, 3, -5, 0.5514, 0.4154, 0.1823, 0.1565, 0.4471, 0.2747, -0.2577
7500, 3, -5, 0.5392, 0.3856, 0.2058, 0.1488, 0.57, 0.0774, -0.1788
7750, 3, -5, 0.5249, 0.359, 0.2223, 0.1534, 0.7043, -0.1982, -0.0449
8000, 3, -5, 0.5084, 0.3301, 0.2389, 0.1787, 0.7798, -0.4111, 0.0646
8250, 3, -5, 0.4911, 0.2977, 0.2592, 0.2215, 0.7832, -0.5137, 0.1192
8500, 3, -5, 0.4745, 0.2705, 0.2734, 0.2749, 0.7302, -0.5423, 0.145
8750, 3, -5, 0.4592, 0.2492, 0.2815, 0.3252, 0.6528, -0.5256, 0.1511
9000, 3, -5, 0.4461, 0.2331, 0.2853, 0.3687, 0.5617, -0.4693, 0.1371
9250, 3, -5, 0.4355, 0.2217, 0.2864, 0.398, 0.4992, -0.4367, 0.132
9500, 3, -5, 0.4266, 0.2129, 0.2864, 0.4243, 0.4349, -0.3912, 0.1197
9750, 3, -5, 0.4191, 0.2056, 0.2862, 0.4468, 0.3747, -0.3425, 0.1041
10000, 3, -5, 0.4127, 0.1997, 0.2855, 0.4631, 0.3311, -0.3105, 0.0952
10500, 3, -5, 0.4021, 0.19, 0.2842, 0.4923, 0.246, -0.2371, 0.0705
11000, 3, -5, 0.3931, 0.182, 0.2829, 0.5166, 0.1766, -0.1797, 0.0521
11500, 3, -5, 0.3853, 0.1748, 0.2821, 0.5441, 0.0978, -0.1081, 0.0271
