TICID,RAdeg,DEdeg,ELON,ELAT,Priority,2min-target,Camera,Obslen,Num-sectors,Vmag,Kmag,Tmag,Star-radius,Star-mass,Distance,Subgiant,Detected,Detected-cons,Planet-period,Planet-radius,Ntransits,Ars,Ecc,Rprs,Impact,Duration,Depth-obs,Insol,Noise-level,SNR
12359292,0.924186890539,-28.396785080999997,348.67485874,-26.22998179,0.006754343584819999,1,1,27.4,1,8.24,6.553999999999999,7.577000000000001,0.962742,0.9767,40.3147936592,0,1,1,3.1160765810543354,1.696531101629826,9,9.25590332902843,0.004845810541914333,0.016132818798204558,0.8121038141392096,1.5779589046699982,259.7032020576181,460.5268916193094,82.26208083521475,11.897253420606013
12469646,3.08767623224,-29.003153954400002,350.27681885,-27.61882823,0.00129051212926,0,1,27.4,1,11.922,10.355,11.298,1.03178,1.0147,253.052756298,0,1,0,16.271177280921936,9.126672643226412,2,26.327382542788534,0.026364244590139908,0.08098110842305317,0.2921103564235751,4.915459639769487,6531.238124651794,63.43821221369696,404.42033756622317,50.63602386513545
20961824,27.4031510354,32.2205063013,37.16284373,19.52992821,0.00116658072503,0,1,27.4,1,11.809000000000001,10.286,11.315,1.0740100000000001,1.01804,256.206769028,0,1,0,10.498793010798122,3.508196631877274,3,18.906412209520035,0.20310260595298005,0.02990432134229332,0.00908766600350602,4.371058660949949,886.7580134908005,124.13862176001544,408.4483373597981,7.861798962095033
41955544,22.1129185619,-37.2922561921,2.62228393,-42.45481247,0.0018621061460100002,0,2,54.8,2,10.076,8.724,9.495,1.56931,1.11267,187.49044893,0,1,1,13.728802922258954,3.953312452174996,4,15.938156329440785,0.007441195001808966,0.023062731709899312,0.05732761053530165,6.726293980614087,531.6156273446794,215.09567070368738,159.69204225432063,17.267615992825586
42013257,23.935458999999998,-38.488811,3.502932,-44.212666,0.0020252858642,1,2,54.8,2,11.519,9.674,10.895,0.953772,0.912345523831,,0,1,0,21.388513853541642,17.811386020875357,2,32.98616830582011,0.006729702363149915,0.17096668702909487,0.4309975058679958,5.39460673722988,29214.28472794416,30.340787167495147,321.78253121301015,298.21376587988516
43373841,10.1269197542,-27.277173909000002,357.45314931,-28.85805427,0.00699507374592,1,1,27.4,1,8.794,7.15,8.124,0.857189,0.9870530000000001,49.1173870087,0,1,1,8.263569325420443,2.722866501552602,3,19.987183636872427,0.2896183307933778,0.029080917769259838,0.8076690884256947,2.0187430383095664,845.619999909729,107.2168593486362,95.15942684364978,21.868781067038356
43395875,10.4227815972,-27.625834782,357.54309307,-29.28737453,0.00214710054229,1,1,27.4,1,13.864,9.969,12.033,0.574,0.622,,0,1,0,23.720701371684186,3.0206672912763257,2,51.68598980923387,0.2709106765857458,0.04817806454988634,0.4897786004135929,3.2493691009998864,2320.989345463415,3.5024722928491583,633.6765020212498,9.337273175430159
43396949,10.5164443659,-25.6657567864,358.61987068,-27.5691305,0.00105599129278,0,1,27.4,1,12.058,10.197000000000001,11.116,1.2629299999999999,0.9172450000000001,276.301602608,0,1,0,3.8502111021843,3.443801119566212,8,7.956250537720152,0.1437848245180916,0.02496417002496469,0.7832279462989634,2.4565633186165914,623.1250044607792,528.6388830615567,364.2073928260745,7.584647412943024
43398950,10.8553398236,-25.92226167,358.80118527,-27.93402979,0.00207567631905,1,1,27.4,1,8.94,7.7520000000000024,8.482000000000001,1.7788400000000002,1.22796,142.529777152,0,1,0,18.136833492429677,2.8642823890590132,2,17.494508609296673,0.02476479107196255,0.014741351258030659,0.2196397129692109,7.8510044740328855,217.1514030117152,220.88801556052243,106.7910647424462,8.057593121340862
44521831,7.390972754450001,33.0947562718,20.82886735,27.26456898,0.00225863394134,1,1,27.4,1,10.957,8.849,10.125,1.0630899999999999,0.901683,116.880587798,0,1,1,2.3735007442303138,2.9280955947998555,11,6.807334530454344,0.1617801660808421,0.02521584736042355,0.10937009250529893,2.725791978600947,627.4675426231536,647.5987183685093,214.91956687403976,15.986669851571227
18111605,20.8117929738,26.542667738400002,29.30542986,16.47254001,0.0039340647092,1,1,27.4,1,12.975999999999999,8.984,11.005999999999998,1.022,0.551,,1,1,0,16.937831709115347,5.1820398780697925,2,22.272780165307964,0.2333113646489217,0.04642032787057627,0.8679706137367482,3.4010607371815658,1896.3879268412759,16.399101497975693,342.2795903551235,14.450017396085734
44672921,22.5526944926,34.6034245583,34.14476498,23.29457561,0.00256324746946,1,1,27.4,1,10.84,9.311,10.279000000000002,0.9209629999999999,1.0344,140.636370027,0,1,0,4.502307599170334,2.6677814649839107,6,12.605120865095909,0.18990542881951994,0.026519566271313508,0.8923399903941063,1.3884831001328155,696.1284583567509,291.6008092783408,232.1817199815339,8.653808662700657
